attributes.OBJECTID,attributes.id,attributes.name,attributes.max_cap,attributes.type,attributes.lat,attributes.lon,attributes.address,attributes.has_fee,attributes.operator,attributes.max_stay,attributes.capacity_d,attributes.capacity_c,attributes.capacity_s,attributes.capacity_w,attributes.has_light,attributes.descript,attributes.public_url,attributes.park_ride,attributes.has_live,attributes.max_hei,attributes.opening_s,attributes.updated,attributes.real_capa,attributes.real_fcap,geometry.x,geometry.y,time
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698830406000,335,146,9.167571136968508,47.657033289172354,2023-11-01T09:24:20Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698830406000,227,200,9.162911984677528,47.67242577090014,2023-11-01T09:24:20Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698830406000,834,265,9.184537170220501,47.68690075655175,2023-11-01T09:24:20Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698830406000,350,95,9.182477072209531,47.68983556736716,2023-11-01T09:24:20Z
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698830705000,930,885,9.175361107339933,47.65527440730637,2023-11-01T09:29:20Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698830705000,161,127,9.175418854210319,47.66048854914443,2023-11-01T09:29:20Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698830705000,288,215,9.175245955320584,47.65865759392984,2023-11-01T09:29:20Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698830705000,288,254,9.172362103102401,47.65874309381292,2023-11-01T09:29:20Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698830705000,118,81,9.17624275277726,47.66788861658084,2023-11-01T09:29:20Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698830705000,312,169,9.181927625345113,47.67178277368145,2023-11-01T09:29:20Z
7,0,Parkhaus Altstadt,359,Parkhaus,47.66306933,9.17190511,"Untere Laube 26, 78462 Konstanz",ja,Parkhaus Laube Betriebs-GmbH & Co KG, ,0,0,0,0,ja,"hinter Bürgerbüro, Ausfahrt: 24 Stunden möglich",https://www.konstanz.de/site/Konstanz/node/107845/Parkhaus.html, ,ja,"2,05 m",ja,1698830705000,359,165,9.170871779661594,47.66218604613144,2023-11-01T09:29:20Z
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698830705000,335,144,9.167571136968508,47.657033289172354,2023-11-01T09:29:20Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698830705000,227,201,9.162911984677528,47.67242577090014,2023-11-01T09:29:20Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698830705000,834,265,9.184537170220501,47.68690075655175,2023-11-01T09:29:20Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698830705000,350,95,9.182477072209531,47.68983556736716,2023-11-01T09:29:20Z
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698831007000,930,884,9.175361107339933,47.65527440730637,2023-11-01T09:34:21Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698831007000,161,128,9.175418854210319,47.66048854914443,2023-11-01T09:34:21Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698831007000,288,214,9.175245955320584,47.65865759392984,2023-11-01T09:34:21Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698831007000,288,255,9.172362103102401,47.65874309381292,2023-11-01T09:34:21Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698831007000,118,81,9.17624275277726,47.66788861658084,2023-11-01T09:34:21Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698831007000,312,169,9.181927625345113,47.67178277368145,2023-11-01T09:34:21Z
7,0,Parkhaus Altstadt,359,Parkhaus,47.66306933,9.17190511,"Untere Laube 26, 78462 Konstanz",ja,Parkhaus Laube Betriebs-GmbH & Co KG, ,0,0,0,0,ja,"hinter Bürgerbüro, Ausfahrt: 24 Stunden möglich",https://www.konstanz.de/site/Konstanz/node/107845/Parkhaus.html, ,ja,"2,05 m",ja,1698831007000,359,164,9.170871779661594,47.66218604613144,2023-11-01T09:34:21Z
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698831007000,335,143,9.167571136968508,47.657033289172354,2023-11-01T09:34:21Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698831007000,227,201,9.162911984677528,47.67242577090014,2023-11-01T09:34:21Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698831007000,834,NA,9.184537170220501,47.68690075655175,2023-11-01T09:34:21Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698831007000,350,NA,9.182477072209531,47.68983556736716,2023-11-01T09:34:21Z
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698831305000,930,878,9.175361107339933,47.65527440730637,2023-11-01T09:39:21Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698831306000,161,128,9.175418854210319,47.66048854914443,2023-11-01T09:39:21Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698831306000,288,212,9.175245955320584,47.65865759392984,2023-11-01T09:39:21Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698831306000,288,255,9.172362103102401,47.65874309381292,2023-11-01T09:39:21Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698831306000,118,81,9.17624275277726,47.66788861658084,2023-11-01T09:39:21Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698831306000,312,169,9.181927625345113,47.67178277368145,2023-11-01T09:39:21Z
7,0,Parkhaus Altstadt,359,Parkhaus,47.66306933,9.17190511,"Untere Laube 26, 78462 Konstanz",ja,Parkhaus Laube Betriebs-GmbH & Co KG, ,0,0,0,0,ja,"hinter Bürgerbüro, Ausfahrt: 24 Stunden möglich",https://www.konstanz.de/site/Konstanz/node/107845/Parkhaus.html, ,ja,"2,05 m",ja,1698831306000,359,163,9.170871779661594,47.66218604613144,2023-11-01T09:39:21Z
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698831306000,335,145,9.167571136968508,47.657033289172354,2023-11-01T09:39:21Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698831306000,227,201,9.162911984677528,47.67242577090014,2023-11-01T09:39:21Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698831306000,834,265,9.184537170220501,47.68690075655175,2023-11-01T09:39:21Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698831306000,350,95,9.182477072209531,47.68983556736716,2023-11-01T09:39:21Z
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698831605000,930,870,9.175361107339933,47.65527440730637,2023-11-01T09:44:22Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698831605000,161,129,9.175418854210319,47.66048854914443,2023-11-01T09:44:22Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698831605000,288,213,9.175245955320584,47.65865759392984,2023-11-01T09:44:22Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698831605000,288,254,9.172362103102401,47.65874309381292,2023-11-01T09:44:22Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698831605000,118,81,9.17624275277726,47.66788861658084,2023-11-01T09:44:22Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698831605000,312,169,9.181927625345113,47.67178277368145,2023-11-01T09:44:22Z
7,0,Parkhaus Altstadt,359,Parkhaus,47.66306933,9.17190511,"Untere Laube 26, 78462 Konstanz",ja,Parkhaus Laube Betriebs-GmbH & Co KG, ,0,0,0,0,ja,"hinter Bürgerbüro, Ausfahrt: 24 Stunden möglich",https://www.konstanz.de/site/Konstanz/node/107845/Parkhaus.html, ,ja,"2,05 m",ja,1698831605000,359,164,9.170871779661594,47.66218604613144,2023-11-01T09:44:22Z
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698831605000,335,142,9.167571136968508,47.657033289172354,2023-11-01T09:44:22Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698831605000,227,201,9.162911984677528,47.67242577090014,2023-11-01T09:44:22Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698831605000,834,265,9.184537170220501,47.68690075655175,2023-11-01T09:44:22Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698831605000,350,95,9.182477072209531,47.68983556736716,2023-11-01T09:44:22Z
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698831906000,930,863,9.175361107339933,47.65527440730637,2023-11-01T09:49:23Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698831906000,161,129,9.175418854210319,47.66048854914443,2023-11-01T09:49:23Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698831906000,288,206,9.175245955320584,47.65865759392984,2023-11-01T09:49:23Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698831906000,288,254,9.172362103102401,47.65874309381292,2023-11-01T09:49:23Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698831906000,118,80,9.17624275277726,47.66788861658084,2023-11-01T09:49:23Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698831906000,312,169,9.181927625345113,47.67178277368145,2023-11-01T09:49:23Z
7,0,Parkhaus Altstadt,359,Parkhaus,47.66306933,9.17190511,"Untere Laube 26, 78462 Konstanz",ja,Parkhaus Laube Betriebs-GmbH & Co KG, ,0,0,0,0,ja,"hinter Bürgerbüro, Ausfahrt: 24 Stunden möglich",https://www.konstanz.de/site/Konstanz/node/107845/Parkhaus.html, ,ja,"2,05 m",ja,1698831906000,359,163,9.170871779661594,47.66218604613144,2023-11-01T09:49:23Z
8,7,Parkplatz Döbele,335,Parkplatz,47.65791602,9.16860392,"Grenzbachstraee / Zur Laube, 78462 Konstanz",ja,Stadt Konstanz,24 Stunden,0,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107889/Parkplatz.html, ,ja, ,ja,1698831906000,335,142,9.167571136968508,47.657033289172354,2023-11-01T09:49:23Z
9,46,Parkplatz Bodenseeforum,227,Parkplatz,47.67331027,9.16394436,"Schänzlebrücke, 78467 Konstanz",ja,Stadt Konstanz,24 Stunden,5,0,0,0, , ,https://www.konstanz.de/site/Konstanz/node/107933/Parkplatz.html,Kombitickets erhältlich,ja, ,ja,1698831906000,227,201,9.162911984677528,47.67242577090014,2023-11-01T09:49:23Z
10,31,Parkhaus Uni Süd,834,Parkhaus,47.68778674,9.18557279,"Universitätsstraße 10, 79464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,1,0,0, , ,"https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*261%2078464%20Konstanz%20Parkhaus%20S%C3%BCd,%20Universit%C3%A4tsstra%C3%9Fe%2010&anchor=results#!", ,ja,"1,80 m",ja,1698831906000,834,265,9.184537170220501,47.68690075655175,2023-11-01T09:49:23Z
11,30,Parkplatz Uni Nord,350,Parkplatz,47.6907219,9.18351245,"Eggerhaldestraße, 78464 Konstanz",ja,PBW Parkraumgesellschaft Baden-Württemberg mbH, ,0,0,0,0, , ,https://www.pbw.de/?menu=parkplatz-finder&profile=kurz-dauer&search=*263%2078464%20Konstanz%20Parkplatz%20Nord&anchor=results, ,ja,"3,50 m",ja,1698831906000,350,95,9.182477072209531,47.68983556736716,2023-11-01T09:49:23Z
1,4,Parkhaus LAGO,930,Parkhaus,47.65615688,9.17639495,"Lago Shopping Center, Hafenstraße 31, 78462 Konstanz",ja,Girlan Immobilien GmbH, ,4,4,0,46, ,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107856/Parkhaus.html, ,ja,"1,90 m",ja,1698832205000,930,856,9.175361107339933,47.65527440730637,2023-11-01T09:54:23Z
2,3,Parkhaus Fischmarkt,161,Parkhaus,47.66137161,9.17645279,"Salmannsweilergasse 1, 78462 Konstanz",ja,Parkhaus Fischmarkt Konstanz GmbH, ,0,0,0,0,ja, ,https://www.konstanz.de/site/Konstanz/node/107878/Parkhaus.html, ,ja,"2,05 m",ja,1698832205000,161,122,9.175418854210319,47.66048854914443,2023-11-01T09:54:23Z
3,5,Parkhaus Marktstätte,288,Parkhaus,47.65954045,9.17627984,"Dammgasse 3, 78462 Konstanz",ja,Gateway Parking Management GmbH, ,2,0,0,9,ja, ,https://www.konstanz.de/site/Konstanz/node/107867/Parkhaus.html, ,ja,"1,95 m",ja,1698832205000,288,207,9.175245955320584,47.65865759392984,2023-11-01T09:54:23Z
4,1,Parkhaus Augustiner / Karstadt,288,Tiefgarage,47.65962598,9.17339558,"Bruderturmgasse / Augustinerplatz, 78462 Konstanz",ja,B+B Parkhaus GmbH & Co KG, ,1,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107900/Parkhaus.html, ,ja,"2,05 m",ja,1698832205000,288,251,9.172362103102401,47.65874309381292,2023-11-01T09:54:23Z
5,2,Parkhaus Benediktinerplatz,118,Parkhaus,47.66877251,9.17727692,"Benediktinerplatz 8, 78467 Konstanz",ja,"WOBAK, Städtische Wohnbau GmbH", ,0,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107911/Parkhaus.html, ,ja,"2,05 m",ja,1698832205000,118,80,9.17624275277726,47.66788861658084,2023-11-01T09:54:23Z
6,6,Tiefgarage Seerheincenter,312,Tiefgarage,47.67266707,9.18296264,"Steinstraße 2, 78467 Konstanz",ja,Contipark Unternehmensgruppe,30 Tage,4,0,0,0,ja,Ausfahrt: 24 Stunden möglich,https://www.konstanz.de/site/Konstanz/node/107922/Parkhaus.html, ,ja,"2,00 m",ja,1698832205000,312,169,9.181927625345113,47.67178277368145,2023-11-01T09:54:23Z
